epoch,train_loss,val_loss,val_auc,val_pr,val_acc,val_f1,val_precision,val_recall
1,1.3689581114753537,1.3024403781726444,0.6139456862457112,0.01816660460407051,0.987557479037057,0.0,0.0,0.0
2,1.3642904700537926,1.3002298851122802,0.6175321565000391,0.02005259982419047,0.7518708863042106,0.04378040305767894,0.022992700729927006,0.45652173913043476
3,1.3625958180620603,1.2977254000203362,0.618897674781709,0.021500115902758715,0.5873230547290595,0.03459185825775153,0.017814468824679557,0.5942028985507246
4,1.3604099390960416,1.2953356360567028,0.6201007731321047,0.022728885869227455,0.5350284014065458,0.034088780670537555,0.017496635262449527,0.6594202898550725
5,1.3590769743629796,1.2923032216642094,0.6212787311265393,0.02378479819761487,0.5558560995401677,0.03411764705882353,0.017533252720677146,0.6304347826086957
6,1.3585241702404098,1.2898013495850837,0.6226429262315797,0.023758231164053196,0.5102335226760436,0.03345195729537367,0.017147026632615834,0.6811594202898551
7,1.3559712465958074,1.2865289134540776,0.6234947211868366,0.024838175265563117,0.5214137589036155,0.033151183970856105,0.017002989536621823,0.6594202898550725
8,1.3541913437939848,1.2828418461755775,0.6234666036834591,0.029432673702189355,0.5596429537462808,0.03401898734177215,0.017486783245221633,0.6231884057971014
9,1.3519932564936186,1.2793380378306598,0.6239859505105476,0.02956078482444177,0.6070687945180777,0.03584070796460177,0.018484710178000914,0.5869565217391305
10,1.3516536328474038,1.2782021343022927,0.6246948423898159,0.02974165740688671,0.5144711928590749,0.03338718362950996,0.017117614577581448,0.6739130434782609
11,1.3509555825820336,1.2757935989862201,0.6245575628145026,0.02953327010348009,0.5477414119556397,0.03389830508474576,0.01741195092995647,0.6376811594202898
12,1.3471981924072451,1.2731411724255002,0.6251890488609433,0.029722394624741993,0.5590118113785952,0.03435340572556762,0.017657803937487313,0.6304347826086957
13,1.3486254241785056,1.2716229921099784,0.6251926875966747,0.029505157333155008,0.588765665855198,0.03470899470899471,0.017876607804665358,0.5942028985507246
14,1.3496338894010074,1.2701904410603402,0.6252562000748918,0.02928944579952351,0.6056261833919394,0.03571428571428571,0.018417462482946793,0.5869565217391305
15,1.3483049985368243,1.2701735280711075,0.6251781326537498,0.02923514774114408,0.6165359300333604,0.03538217282830574,0.018262701943338795,0.5652173913043478
16,1.3499470970891265,1.2700692141193084,0.6250398606959644,0.02924652479645784,0.6477323956361013,0.037447647203744765,0.01938281050752359,0.5507246376811594
17,1.350756393994397,1.2700723598058197,0.624896296031661,0.02926158995255611,0.6053556938057885,0.03526559400484902,0.01818595135258013,0.5797101449275363
18,1.3477345560243739,1.2694603235557163,0.6251169357346343,0.02933862233422333,0.5868722387521413,0.034555415086388534,0.017795138888888888,0.5942028985507246
19,1.34636897258913,1.2691729949123558,0.6250312600478725,0.02922895377483483,0.5948967631412857,0.035215804165771955,0.01814560743527329,0.5942028985507246
20,1.3498135476942488,1.2689654738053509,0.6250987420559784,0.02924810177264828,0.595077089532053,0.03523093447905478,0.01815364179765331,0.5942028985507246
